scene,lap2mean_mean,lap2mean_std,lap2mean_max,lap2mean_min,lap2mean_median,lap2std_mean,lap2std_std,lap2std_max,lap2std_min,lap2std_median,bitrate,ssim
hevc_5_92_3,10.20342093,0.412695485,11.03509437,9.05760071,10.31976136,8.733951277,0.405043446,9.68209362,7.577888489,8.845198154,181.84,0.9782448
hevc_5_96_20,20.57991723,0.513092683,21.7631165,18.97319469,20.56429011,17.80410984,0.487122448,18.89878082,16.38831329,17.79841423,204,0.979215
hevc_5_117_2,5.184060371,0.322994996,5.549158792,4.452359318,5.316910472,5.759063711,0.204720968,6.07787323,5.221683025,5.845419407,123.52,0.9740838
hevc_5_120_6,19.26358608,1.341458387,21.66769868,16.71808008,19.08188132,16.71259776,1.138483917,18.84132957,14.54690742,16.57602501,269.23,0.9767195
hevc_5_134_3,21.17336463,0.462396754,22.28968273,20.29896785,21.1642604,18.41251914,0.403493902,19.40625,17.64528465,18.38181973,269.12,0.9767928
hevc_5_139_4,8.307492709,0.146803123,8.684608912,8.030057707,8.277962179,7.731206263,0.149104491,8.11468029,7.439441681,7.699288368,46.74,0.9799574
hevc_5_150_5,4.607774762,0.084213592,4.794344853,4.481331354,4.579642712,4.238738557,0.083536475,4.423181057,4.108476162,4.206888199,41.8,0.9834762
hevc_5_156_2,3.495796122,1.113249372,5.064097211,1.618276257,3.719115039,3.137539435,1.14325179,4.759555817,1.211565733,3.41413331,146.88,0.9830672
hevc_5_163_26,11.666453,1.05209828,14.62631507,9.735134432,11.37455665,10.60954504,0.977411183,13.26935291,8.766586304,10.32077312,150.68,0.9825698
hevc_5_190_2,8.64736277,0.411383914,9.66204127,8.102790408,8.634378835,7.70515029,0.416144058,8.80510807,7.143014431,7.697889328,83.86,0.9832136
hevc_5_193_4,7.761351214,0.267786828,8.911806963,7.320246058,7.71025724,6.625032837,0.275129391,7.721244335,6.116579056,6.593864918,92.64,0.9815184
hevc_5_203_3,13.02110958,0.361657485,13.97229915,12.38329245,12.96041536,11.71364125,0.351353935,12.59980011,11.07951355,11.65736961,91.27,0.9856455
hevc_5_211_7,4.308722741,0.774731056,5.90228332,2.863162508,4.336249742,3.353222433,0.648729573,4.553403378,1.748885036,3.496558785,191.93,0.9817403
hevc_5_224_4,6.270957507,1.723191441,9.787343428,2.268391256,6.249970042,5.520866086,1.630722376,8.91503334,1.760947943,5.449515104,301.14,0.9770751
hevc_5_232_8,37.43669219,7.890697842,49.34087775,19.26056807,38.84290935,36.4868235,7.388942077,47.36933136,19.16802216,37.91469574,273.74,0.9979693
hevc_6_20_6,56.22579322,9.81547401,62.8060806,0.545268478,58.65979603,46.16347654,7.814652126,51.08005524,0.499860287,47.75670624,770.91,0.982001
hevc_6_29_2,20.25971657,1.995076363,25.84836789,17.96026889,20.26742751,19.58453182,1.769287869,24.71849632,17.51387787,19.68667793,162.04,0.9848524
